,player_name,school,GP,Min_per,ORtg,usg,eFG,TS_per,FT_per,twoP_per,TP_per,yr,ht,ast/tov,pick,drtg,bpm,mp,oreb,dreb,ast,stl,blk,pts,role,drafted,Allstar
240,Jake Layman,Maryland,35,79.1,116.5,17.2,60.1,64.02,0.846,0.604,0.399,4,205,0.68969888,47.0,98.339,6.94977,31.7429,1.0286,4.2571,1.1429,1.1429,1.0286,11.7143,Wing F,Yes,No
241,T.J. Warren,North Carolina St.,35,84.8,113.7,33.6,54.8,57.35,0.6900000000000001,0.58,0.267,2,203,0.48195156,14.0,102.54,7.66874,35.3714,3.2286,3.9143,1.1429,1.8,0.6000000000000001,24.8857,Wing F,Yes,No
242,Cleanthony Early,Wichita St.,35,68.5,117.7,26.4,57.3,62.88,0.842,0.579,0.376,4,203,0.373139,34.0,91.1751,5.69725,27.4857,1.2857,4.7143,0.7143,0.7714000000000001,0.8,16.2857,Stretch 4,Yes,No
243,Steven Adams,Pittsburgh,32,56.1,109.7,18.0,57.1,55.46,0.443,0.5710000000000001,0.0,1,213,0.57140248,12.0,86.5013,9.76937,23.4062,2.8125,3.5312,0.625,0.6562,2.0312,7.2188,C,Yes,No
244,Nerlens Noel,Kentucky,24,57.5,109.0,18.2,59.0,58.26,0.529,0.59,0.0,1,208,0.84442666,6.0,81.3956,12.8608,31.875,2.7083,6.75,1.5833,2.0833,4.4167,10.4583,C,Yes,No
245,Denzel Valentine,Michigan St.,31,72.5,125.5,28.9,57.9,60.82,0.853,0.481,0.444,4,195,2.83533318,14.0,92.9687,14.386,32.9677,0.8065,6.7097,7.7742,1.0323,0.2258,19.1935,Pure PG,Yes,No
246,Richaun Holmes,Bowling Green,30,67.1,115.8,25.1,59.3,62.31,0.711,0.586,0.419,4,203,0.43332471,37.0,91.2274,7.98568,28.7742,2.871,5.1613,0.8387,0.7097,2.6452,14.8065,PF/C,Yes,No
247,Isaiah Cousins,Oklahoma,37,82.4,104.9,22.1,48.4,50.64,0.67,0.403,0.411,4,193,1.90905651,59.0,100.385,5.08243,33.2973,0.6216,3.8378,4.5405,1.3784,0.2703,12.6486,Scoring PG,Yes,No
248,Buddy Hield,Oklahoma,37,87.6,121.5,28.4,62.3,66.45,0.88,0.552,0.457,4,193,0.66369796,6.0,100.663,8.86581,35.3784,1.2432,4.4865,2.027,1.1351,0.4865,25.0,Wing G,Yes,No
249,Semaj Christon,Xavier,34,87.6,106.5,26.6,50.1,54.36,0.668,0.491,0.388,2,190,1.5955455,55.0,105.36,3.39614,35.2941,0.4412,2.2353,4.1765,1.3235,0.2353,17.0,Scoring PG,Yes,No
250,Archie Goodwin,Kentucky,33,78.8,96.9,27.2,46.4,50.91,0.637,0.478,0.266,1,193,0.8712997,29.0,97.7351,0.7786029999999999,31.7576,1.4545,3.1515,2.6667,1.0909,0.4545,14.1212,Wing G,Yes,No
251,Tyrone Wallace,California,28,65.5,104.0,27.6,47.8,51.43,0.649,0.488,0.298,4,195,1.66215143,60.0,97.7535,6.37454,32.1786,0.9643,4.3214,4.3929,0.9643,0.4286,15.25,Combo G,Yes,No
252,R.J. Hunter,Georgia St.,34,92.1,111.9,28.5,46.8,54.93,0.887,0.49,0.298,3,198,1.63636356,28.0,95.2301,7.11989,36.9714,0.7714000000000001,3.9429,3.6,2.1429,1.0,19.6571,Wing G,Yes,No
253,Nik Stauskas,Michigan,36,86.0,124.1,23.9,58.6,64.17,0.8240000000000001,0.5,0.442,2,198,1.76121657,8.0,107.646,7.59555,35.5833,0.4167,2.5,3.2778,0.5556,0.3056,17.5,Combo G,Yes,No
254,Mitch McGary,Michigan,8,13.2,113.2,24.1,54.5,57.23,0.667,0.5660000000000001,0.0,2,208,0.92307692,21.0,90.2124,10.8315,24.625,2.875,5.375,1.5,1.875,0.75,9.5,C,Yes,No
255,Glenn Robinson III,Michigan,37,80.1,113.7,21.2,53.2,56.59,0.757,0.562,0.306,2,198,0.95656378,40.0,104.582,5.6466,32.2703,1.4595,2.973,1.1892,0.9459,0.2973,13.0811,Wing G,Yes,No
256,Colton Iverson,Colorado St.,33,74.7,114.1,24.5,58.9,59.58,0.585,0.589,0.0,4,208,0.65670101,53.0,96.4785,6.29975,30.0,3.3636,6.5152,1.3333,0.4545,0.6970000000000001,14.0,C,Yes,No
257,Justin Anderson,Virginia,26,52.8,120.5,22.0,57.2,60.97,0.78,0.479,0.452,3,198,1.45164815,21.0,88.5752,9.76844,27.8462,0.6538,3.3846,1.7308,0.6538,0.5385,12.1923,Wing G,Yes,No
258,Damian Jones,Vanderbilt,33,65.1,106.8,26.4,59.0,58.45,0.536,0.595,0.0,3,213,0.58460679,30.0,94.8238,5.45568,26.2424,2.2424,4.6364,1.1515,0.2424,1.6364,13.8788,C,Yes,No
259,Andrew Harrison,Kentucky,39,63.1,111.6,21.8,44.6,53.13,0.792,0.376,0.383,2,198,2.17190735,44.0,88.0517,7.024,25.4872,0.3333,1.8974,3.5641,1.0256,0.2051,9.3333,Scoring PG,Yes,No
260,James Young,Kentucky,40,80.2,111.7,21.8,49.8,53.64,0.706,0.47,0.349,1,198,0.89333331,17.0,103.077,4.71558,32.4,1.025,3.25,1.675,0.75,0.2,14.325,Wing G,Yes,No
261,Jarell Martin,LSU,33,85.9,106.5,24.6,52.6,56.54,0.6900000000000001,0.545,0.269,2,205,0.64130707,25.0,93.3404,4.40655,35.1212,2.9697,6.2727,1.7879,1.1515,0.6970000000000001,16.9091,Wing F,Yes,No
262,Jordan Mickey,LSU,31,80.1,97.3,24.7,50.5,53.25,0.646,0.514,0.111,2,203,0.39602836,33.0,89.4192,5.04363,34.871,3.1935,6.7419,1.2903,0.9355,3.6452,15.4194,C,Yes,No
263,Semi Ojeleye,SMU,35,85.4,127.5,24.5,57.2,62.15,0.785,0.529,0.424,3,200,1.05998883,37.0,97.0548,6.64165,34.1429,2.2857,4.5714,1.5143,0.4286,0.4,19.0,Wing F,Yes,No
264,Dakari Johnson,Kentucky,39,40.3,108.6,23.1,50.6,55.26,0.625,0.506,0.0,2,213,0.6905005200000001,48.0,81.6239,8.05064,16.2821,1.7179,2.8718,0.7436,0.359,0.9231,6.359,C,Yes,No
265,Julius Randle,Kentucky,40,76.3,111.2,26.2,50.4,56.59,0.706,0.516,0.167,1,205,0.5643564,7.0,96.732,5.23199,30.825,3.5,6.925,1.425,0.5,0.775,14.975,C,Yes,Yes
266,Rondae Hollis-Jefferson,Arizona,38,71.5,113.8,20.9,51.3,57.33,0.707,0.537,0.207,2,200,1.0,23.0,86.8974,9.57925,28.6842,2.0263,4.8158,1.5526,1.1579,0.8421000000000001,11.2368,Wing F,Yes,No
267,Demetrius Jackson,Notre Dame,35,87.1,115.9,24.4,51.4,55.97,0.8130000000000001,0.525,0.331,3,185,2.15791645,45.0,111.075,5.14345,35.9429,0.8857,2.5714,4.6857,1.2286,0.2857,15.8,Scoring PG,Yes,No
268,Wesley Iwundu,Kansas St.,35,78.1,110.5,22.6,53.2,58.53,0.767,0.52,0.376,4,200,1.49379935,33.0,98.9906,6.17514,31.3714,1.0286,5.2857,3.4571,1.0,0.3429,13.0286,Wing G,Yes,No
269,Cameron Payne,Murray St.,33,81.4,118.8,31.3,52.9,56.73,0.783,0.507,0.373,2,187,2.4023011800000003,14.0,100.124,8.30782,32.1714,0.6000000000000001,3.0857,5.9714,1.9429,0.4857,20.2,Pure PG,Yes,No
270,Bobby Portis,Arkansas,36,74.2,118.9,25.7,55.2,58.23,0.737,0.541,0.467,2,208,0.74999998,22.0,95.8038,7.92782,29.8889,3.6944,5.2222,1.1667,1.0833,1.3889,17.4722,PF/C,Yes,No
271,Terry Rozier,Louisville,36,86.9,105.9,26.8,45.7,50.86,0.79,0.456,0.306,2,185,1.36711625,16.0,89.6,7.20163,35.0,1.1944,4.3611,3.0,2.0,0.1667,17.0833,Combo G,Yes,No
272,Aaron Gordon,Arizona,38,77.1,105.5,23.2,51.6,50.27,0.422,0.513,0.356,1,203,1.36361758,4.0,87.7492,8.3179,31.2368,2.6842,5.2895,1.9737,0.8947,1.0263,12.3684,Wing F,Yes,No
273,George King,Colorado,32,70.5,107.3,22.5,54.2,57.45,0.782,0.494,0.395,4,198,0.54689997,59.0,101.277,3.25266,28.5312,1.75,6.0625,1.0938,0.5312,0.6562,12.9375,Stretch 4,Yes,No
274,Alec Peters,Valparaiso,28,76.3,117.8,29.5,52.7,59.63,0.888,0.514,0.369,4,205,0.90140097,54.0,96.3548,4.93177,35.1379,2.5517000000000003,7.5517,2.2069,0.7931,0.3793,22.9655,Stretch 4,Yes,No
275,Sindarius Thornwell,South Carolina,32,71.9,118.2,29.2,51.0,58.98,0.8300000000000001,0.471,0.392,4,195,1.13157895,48.0,88.3804,13.5191,32.9062,2.4062,4.5,2.6875,2.0625,0.9375,20.7188,Wing G,Yes,No
276,Noah Vonleh,Indiana,30,61.8,109.1,21.5,56.0,60.43,0.716,0.53,0.485,1,208,0.2812543999999999,9.0,90.6372,5.27582,26.4667,2.3667,6.6,0.6000000000000001,0.8667,1.3667,11.2667,PF/C,Yes,No
277,Jaron Blossomgame,Clemson,33,85.5,113.0,24.8,52.6,56.07,0.714,0.5650000000000001,0.255,4,200,0.92728148,59.0,105.976,4.73046,34.3333,1.7879,4.4848,1.5455,0.8182,0.9091,17.697,Wing F,Yes,No
278,Delon Wright,Utah,34,83.7,125.2,24.2,54.5,61.66,0.835,0.549,0.356,4,195,2.61758206,20.0,87.5652,14.4311,33.2857,0.9714,3.9714,5.0857,2.0857,0.9714,14.5429,Scoring PG,Yes,No
279,Zach LaVine,UCLA,37,60.7,107.3,19.0,52.4,54.48,0.6910000000000001,0.494,0.375,1,195,1.57149149,13.0,103.564,2.74348,24.4324,0.4865,2.0541,1.7838,0.8919,0.1622,9.4324,Wing G,Yes,Yes
280,Jabari Bird,California,27,62.5,107.0,21.6,54.2,56.23,0.764,0.536,0.365,4,198,0.55996541,56.0,96.9727,3.3703,31.963,0.963,3.7407,1.037,0.6667000000000001,0.2222,14.3333,Wing G,Yes,No
281,Joel Embiid,Kansas,28,45.9,112.0,24.4,62.9,65.5,0.685,0.639,0.2,1,213,0.5757498600000001,3.0,90.0859,12.7402,23.1071,2.3214,5.7857,1.3571,0.8929,2.5714,11.1786,C,Yes,Yes
282,Andrew Wiggins,Kansas,35,81.4,112.3,25.1,49.9,56.34,0.775,0.493,0.341,1,203,0.67502293,1.0,101.712,7.14569,32.8,2.1714,3.6857,1.5429,1.1714,0.9714,17.0571,Wing F,Yes,No
283,Davon Reed,Miami FL,33,87.9,113.8,21.3,53.9,58.0,0.833,0.474,0.397,4,198,1.19401082,32.0,99.4324,7.21637,35.303,0.8485,3.9394,2.4242,1.303,0.4848,14.8788,Wing G,Yes,No
284,Deandre Bembry,Saint Joseph's,31,95.0,100.2,27.3,48.6,51.21,0.637,0.484,0.327,2,198,1.24716125,21.0,94.693,6.20876,38.6129,1.5806,6.1613,3.5806,1.9355,0.9355,17.7419,Wing G,Yes,No
285,DeAndre' Bembry,Saint Joseph's,36,92.8,110.7,24.5,51.3,53.91,0.657,0.553,0.266,3,198,2.20544419,21.0,96.6461,8.8377,37.25,1.4167,6.3333,4.4722,1.4167,0.8333,17.4167,Wing G,Yes,No
286,Jabari Parker,Duke,35,76.4,111.7,31.6,51.1,55.77,0.748,0.504,0.358,1,203,0.50615734,2.0,98.2252,6.22828,30.6571,3.0,5.7429,1.1714,1.0571,1.2286,19.1429,PF/C,Yes,No
287,Tyler Ennis,Syracuse,34,88.7,114.5,22.7,45.3,51.07,0.765,0.429,0.353,1,187,3.2413389,18.0,97.6955,6.8622700000000005,35.7353,0.7941,2.5882,5.5294,2.1176,0.1765,12.9412,Pure PG,Yes,No
288,Sterling Brown,SMU,35,81.6,117.6,21.6,54.6,58.28,0.791,0.465,0.449,4,198,1.54408363,46.0,91.236,8.55248,32.6571,1.5714,4.9143,3.0,1.4286,0.5429,13.4286,Wing G,Yes,No
289,Nigel Williams-Goss,Gonzaga,38,79.6,119.3,24.9,53.3,59.37,0.867,0.527,0.368,3,190,2.1829091,55.0,85.8129,10.47,32.6579,0.5789000000000001,5.3947,4.7105,1.6842,0.0789,16.8421,Combo G,Yes,No
