,player_name,school,GP,Min_per,ORtg,usg,eFG,TS_per,FT_per,twoP_per,TP_per,yr,ht,ast/tov,pick,drtg,bpm,mp,oreb,dreb,ast,stl,blk,pts,role,drafted
11197,Willie Clayton,Georgia St.,31,51.8,96.6,18.2,63.9,56.46,0.293,0.639,0.0,4,203,0.27583069,0.0,99.3129,-0.7359559999999999,21.0303,2.9394,4.2424,0.4848,0.4242,0.7576,6.0606,C,No
11198,Zach LeDay,Virginia Tech,33,72.9,117.2,26.8,55.4,61.41,0.772,0.5730000000000001,0.275,4,200,0.65572087,0.0,103.876,5.17922,29.3939,2.4848,4.8485,1.2121,0.5758,1.0,16.4545,PF/C,No
11199,LaBradford Franklin,San Diego St.,31,27.3,82.3,19.8,39.6,48.33,0.839,0.452,0.2,2,187,1.09529079,0.0,99.0489,-3.55012,11.4516,0.2258,1.0323,1.4839,0.2581,0.0323,2.5484,Combo G,No
11201,Josh Adams,Wyoming,29,88.2,108.6,36.5,53.2,60.03,0.8320000000000001,0.498,0.376,4,187,1.08927792,0.0,104.841,7.37347,36.9655,0.6207,4.9655000000000005,4.2069,1.4483000000000001,0.5862,24.6207,Scoring PG,No
11202,Derek Cooke Jr.,Wyoming,33,65.7,110.9,16.9,71.4,68.13,0.538,0.709,1.0,4,205,0.67350001,0.0,91.458,3.78811,26.3143,1.4571,4.3714,0.9429000000000001,0.8571000000000001,0.8857,8.0857,Wing F,No
11203,Rarlensee Nelson,New Orleans,22,77.6,85.3,25.4,41.1,48.06,0.708,0.43,0.158,4,172,1.3894678,0.0,110.392,-6.50324,31.9091,0.6818000000000001,2.3636,6.0,1.0909,0.0,10.5455,Pure PG,No
11205,Larry Drew II,UCLA,35,87.5,103.6,15.6,50.9,52.01,0.609,0.451,0.433,4,187,2.97680205,0.0,102.383,1.56818,35.5143,0.2571,2.1714,7.3143,1.4,0.2,7.5143,Pure PG,No
11206,Dom Samac,Denver,17,17.6,113.7,14.7,58.0,59.49,0.7000000000000001,0.625,0.35000000000000003,2,205,1.5001416600000002,0.0,109.04,-2.81807,12.6471,0.3529,1.1176,0.5294,0.29410000000000003,0.058800000000000005,3.4118,Wing F,No
11207,Jordan Giusti,Saint Mary's,32,42.5,101.8,11.5,47.5,50.98,0.639,0.41200000000000003,0.34800000000000003,2,187,1.5,0.0,104.957,1.55472,18.125,0.4062,1.2188,1.125,0.6875,0.125,3.0938,Combo G,No
11208,Shabazz Muhammad,UCLA,32,69.5,107.1,28.2,48.7,52.82,0.711,0.463,0.377,1,198,0.52942655,14.0,103.412,1.84634,30.8438,2.7188,2.5,0.8438,0.7188,0.125,17.875,Wing F,Yes
11209,Kyle Anderson,UCLA,36,80.3,110.6,26.0,51.7,56.62,0.737,0.48,0.483,2,205,2.11814376,30.0,94.3457,9.78061,33.2222,1.25,7.5,6.4722,1.7778,0.75,14.6389,Wing F,Yes
11210,Rob Lewis,Houston Baptist,28,60.5,99.0,26.8,44.1,50.3,0.713,0.428,0.314,2,182,1.2452322,0.0,111.447,-2.43778,25.2857,0.5,2.2143,2.3571,0.8214,0.0357,12.25,Scoring PG,No
11211,Landry Nnoko,Clemson,31,55.3,105.7,21.6,55.2,57.16,0.636,0.552,0.0,4,208,0.54165589,0.0,96.4971,5.26377,22.2903,2.1612999999999998,3.5806,0.8387,0.1935,2.2903000000000002,8.0968,C,No
11214,Andrew Van Nest,Boston College,25,20.5,97.6,18.8,47.8,51.91,0.789,0.5680000000000001,0.25,4,208,0.62500002,0.0,106.989,-2.36271,10.88,0.52,1.28,0.4,0.2,0.08,3.24,Stretch 4,No
11216,Kaleb Tarczewski,Arizona,26,51.2,116.4,17.2,53.3,59.21,0.712,0.533,0.0,4,213,0.49996176000000003,0.0,92.7292,5.36494,27.3846,2.5769,6.7308,0.6538,0.2692,1.3846,9.3846,C,No
11217,Grant Jerrett,Arizona,34,43.1,114.3,14.7,51.3,53.51,0.8180000000000001,0.41300000000000003,0.405,1,208,0.94738727,40.0,93.2731,7.05192,17.8235,1.0882,2.5,0.5294,0.4706,0.9706,5.1765,PF/C,Yes
11218,Brandon Ashley,Arizona,38,69.2,112.3,21.7,53.3,57.45,0.7030000000000001,0.537,0.333,3,203,0.45453917,0.0,91.4921,5.5185200000000005,27.7632,1.8158,3.3684,0.6579,0.6053000000000001,0.6579,12.2368,Wing F,No
11219,Gabe York,Arizona,34,81.6,110.0,21.1,53.9,56.02,0.756,0.425,0.421,4,190,1.07044343,0.0,100.146,5.38749,33.3529,0.5588000000000001,2.6471,2.2353,0.8824000000000001,0.2647,15.0294,Combo G,No
11220,Quinton Chirvous,Hampton,35,63.4,95.7,23.4,47.9,51.36,0.617,0.534,0.247,4,198,0.45715001,0.0,97.3286,-3.29967,25.4571,1.5714000000000001,4.9714,0.9143,0.4571,0.0857,10.6,Wing F,No
11221,Quinton Chievous,Hampton,27,73.0,108.1,24.0,59.7,58.11,0.483,0.628,0.305,4,198,0.74999066,0.0,100.608,0.777623,34.1852,3.1852,7.5556,2.0,0.5926,0.1481,17.037,Wing F,No
11222,Tevin Prescott,Winthrop,31,46.2,114.0,12.6,56.8,58.04,0.619,0.5680000000000001,0.0,4,195,0.52622439,0.0,98.8408,0.44451199999999996,18.8485,1.2121,1.8485,0.303,0.7576,0.4848,5.0,PF/C,No
11224,Joel James,North Carolina,37,18.1,98.4,16.5,45.3,46.55,0.522,0.453,0.0,4,210,0.0,0.0,101.913,-5.16496,7.8108,0.9459000000000001,1.3243,0.0,0.027,0.1892,2.1622,C,No
11225,Travis Wilkins,Ohio,36,59.9,119.1,12.9,59.0,60.84,0.8,0.466,0.432,4,190,2.1154805,0.0,104.851,0.9426289999999999,24.3889,0.36110000000000003,1.6667,1.5278,0.5278,0.0833,6.6667000000000005,Combo G,No
11226,Ian Childs,Morgan St.,28,47.4,104.8,22.2,56.4,57.83,0.654,0.5640000000000001,0.0,2,218,0.52380002,0.0,100.636,1.09806,19.7857,1.3214000000000001,2.6786,0.7857000000000001,0.25,1.6429,8.7857,C,No
11228,Tre Hale-Edmerson,Cal St. Northridge,28,78.4,102.1,14.9,55.4,57.64,0.723,0.55,0.375,4,205,1.5438914700000002,0.0,102.442,2.99023,32.0714,0.7143,5.75,3.1429,0.7857000000000001,1.6785999999999999,8.5357,Stretch 4,No
11229,Damon Sherman-Newsome,Colgate,32,76.9,105.7,27.0,54.9,56.75,0.68,0.541,0.371,4,195,1.0,0.0,108.297,-0.983846,30.9091,0.5455,2.8182,1.8182,0.6061000000000001,0.1515,14.7273,Wing G,No
11230,Alex Ramon,Colgate,29,56.8,102.1,17.9,54.1,57.18,0.709,0.512,0.385,4,185,0.93336341,0.0,109.11,-2.29633,23.1034,0.8621000000000001,2.069,1.4483000000000001,0.6207,0.2069,6.8276,Wing G,No
11231,Drake Thomas,Southern Utah,18,8.4,67.8,13.0,25.0,26.39,0.5,0.25,0.167,2,182,3.33293323,0.0,118.969,-12.2461,5.2222,0.0,0.2222,0.5556,0.1111,0.0,0.5556,Pure PG,No
11232,Zeldric King,Tulsa,20,25.3,80.1,16.3,60.6,61.7,0.621,0.587,1.0,1,200,0.18421053,0.0,102.621,-4.31167,16.4,0.9,1.3,0.35000000000000003,0.5,0.05,3.75,Wing F,No
11233,James Woodard,Tulsa,31,81.9,110.9,21.7,52.6,57.4,0.786,0.507,0.358,4,190,1.32139498,0.0,100.789,4.75587,34.0645,0.6452,4.6129,2.3871,1.0,0.3871,15.3871,Wing G,No
11234,Rashad Ray,Tulsa,32,43.6,99.9,15.1,43.5,45.54,0.63,0.396,0.308,4,180,2.90490716,0.0,101.354,1.21015,17.5938,0.2812,1.1562000000000001,1.9062000000000001,0.9688,0.0,4.0938,Scoring PG,No
11235,D'Andre Wright,Tulsa,32,44.0,96.4,17.2,49.2,53.13,0.6980000000000001,0.528,0.0,4,205,0.28570124,0.0,103.036,-2.9095400000000002,17.7188,1.125,2.1875,0.3125,0.1875,0.3125,5.2188,C,No
11238,Andrew Scocca,Bryant,22,9.2,102.8,10.4,27.3,48.16,0.786,0.273,0.0,3,203,1.33284453,0.0,112.591,-6.60043,5.0455,0.2727,0.6818000000000001,0.18180000000000002,0.0,0.18180000000000002,0.7727,C,No
11240,Jameel Warney,Stony Brook,31,84.0,127.9,25.2,62.9,63.16,0.614,0.629,0.0,4,203,1.14289937,0.0,90.6615,10.0614,33.7419,4.3871,6.3548,1.5484,0.9032,3.0968,20.0968,C,No
11241,Carson Puriefoy,Stony Brook,31,86.2,104.0,23.2,48.9,53.32,0.779,0.375,0.398,4,182,1.1851965500000001,0.0,99.8329,0.255114,34.6129,0.6774,2.5806,3.0968,1.129,0.4194,15.0645,Combo G,No
11243,Marcus Byrd,Denver,31,69.3,109.9,20.1,59.7,61.56,0.795,0.5740000000000001,0.41500000000000004,4,200,1.1749980899999999,0.0,103.767,1.6398700000000002,27.7097,0.4516,3.3226,1.5161,0.6452,0.6774,10.8387,Stretch 4,No
11244,Larry Wilkins,UTSA,32,54.0,96.3,14.8,49.1,51.37,0.55,0.491,0.0,4,193,0.59462028,0.0,106.141,-2.46847,21.6875,1.625,2.0312,0.6875,0.75,0.21880000000000002,4.6875,Wing G,No
11246,Hyjii Thomas,UTSA,27,57.2,93.1,23.6,44.6,51.71,0.7030000000000001,0.44,0.31,4,185,0.61289903,0.0,115.642,-4.68537,23.0,0.8148000000000001,1.5556,1.4074,0.8519,0.1852,8.8889,Combo G,No
11248,Tanner Plomb,Army,27,65.6,107.0,27.4,50.9,54.2,0.736,0.491,0.352,4,200,0.85414557,0.0,101.003,-0.190847,31.8148,0.5556,5.3333,1.5185,0.8889,0.2963,19.9259,Wing F,No
11249,Matt Gramling,Army,30,44.5,95.1,17.0,38.8,41.56,0.655,0.447,0.178,2,190,2.00012002,0.0,109.88,-3.31662,17.9333,0.9,0.9667,1.6667,0.7333000000000001,0.1,4.2333,Combo G,No
11250,Kevin Ferguson,Army,28,59.2,117.7,21.6,60.9,63.05,0.6950000000000001,0.609,0.0,4,208,0.64813856,0.0,97.617,3.58862,27.7143,3.8929,5.8214,1.25,0.5,1.5357,12.9643,C,No
11251,Dylan Cox,Army,31,65.8,104.7,18.9,51.9,55.74,0.685,0.53,0.278,4,193,1.88462307,0.0,102.315,-0.454546,27.8065,1.1935,3.2580999999999998,4.7419,0.7419,0.5161,8.0645,Scoring PG,No
11252,Larry Toomey,Army,32,61.1,105.8,13.7,46.1,50.7,0.71,0.432,0.329,4,198,1.80551105,0.0,101.546,-0.207231,25.0,1.25,4.4375,2.0312,0.4375,0.2812,5.8125,Wing F,No
11253,Spencer Collins,Wofford,30,78.6,103.6,25.6,48.2,52.97,0.807,0.365,0.406,4,193,1.17542105,0.0,109.334,-0.15763000000000002,31.8333,0.9333,2.3667,2.2333,0.8667,0.1333,14.7667,Combo G,No
11254,CJ Neumann,Wofford,33,51.8,112.6,13.1,51.1,55.54,0.651,0.511,0.0,3,200,0.9630542400000001,0.0,97.3848,0.835625,20.5429,1.7714,2.7429,0.7429,0.5143,0.2,4.0,PF/C,No
11255,C.J. Neumann,Wofford,30,74.2,108.2,11.3,50.9,55.93,0.71,0.519,0.0,4,200,0.91176219,0.0,105.559,0.6485949999999999,30.0333,1.9,5.0667,1.0333,0.8333,0.30000000000000004,5.2,PF/C,No
11256,Justin Gordon,Wofford,30,63.8,93.8,29.3,48.5,51.32,0.597,0.486,0.313,4,198,0.77214897,0.0,107.652,-2.58882,25.8333,1.6,2.6667,2.0333,0.5667,0.5333,11.6,Wing F,No
11257,Sam McLaurin,Illinois,34,51.8,100.4,13.1,42.6,47.0,0.587,0.42,0.5,4,203,0.51729391,0.0,103.957,3.05141,20.7059,2.2941000000000003,1.1471,0.44120000000000004,0.3235,0.6765,3.6471,PF/C,No
11258,Baryn Houston,Alabama A&M,13,6.7,82.6,11.0,42.3,40.82,0.0,0.167,0.429,4,200,1.33318893,0.0,104.843,-5.75084,5.8462,0.07690000000000001,0.6154000000000001,0.30770000000000003,0.2308,0.0,0.8462000000000001,Combo G,No
11259,Chadrack Lufile,Wichita St.,35,41.6,103.7,20.3,55.3,56.7,0.588,0.553,0.0,4,205,0.19515111000000002,0.0,90.4452,1.26273,16.7143,1.7714,3.2286,0.2286,0.2857,0.8,5.8,C,No
11261,Taran Brown,UC Santa Barbara,28,65.3,113.7,15.0,53.2,55.41,0.793,0.603,0.33,2,203,1.69576335,0.0,104.214,3.90387,26.4643,1.1071,3.25,1.3929,0.46430000000000005,0.7857000000000001,7.3929,Stretch 4,No
11262,Phil Forte,Oklahoma St.,31,84.4,109.7,22.3,52.2,58.93,0.838,0.47500000000000003,0.373,3,180,0.91669331,0.0,100.215,4.82839,33.6875,0.09380000000000001,2.0,1.7187999999999999,1.9062000000000001,0.0625,14.9688,Combo G,No
11263,Phil Forte III,Oklahoma St.,3,5.9,124.7,20.6,53.8,61.26,0.857,0.5,0.375,4,180,0.0,0.0,110.116,-0.770189,25.6667,0.33330000000000004,1.0,0.0,0.33330000000000004,0.0,13.3333,Wing G,No
11264,"Phil Forte, III",Oklahoma St.,32,78.0,130.7,16.1,56.8,61.83,0.9520000000000001,0.455,0.421,4,180,1.48479998,0.0,111.678,7.0444,31.1212,0.6970000000000001,1.8788,1.4848,1.1212,0.0606,13.303,Combo G,No
11267,Jabari Brown,Missouri,35,91.5,119.3,24.7,55.9,62.17,0.797,0.512,0.41000000000000003,3,195,0.81706429,0.0,107.774,3.99221,37.0,0.4857,3.9429,1.9143,0.6286,0.1429,19.9429,Wing G,No
11268,Justin Goldsborough,Lehigh,31,36.8,90.6,15.3,52.5,52.26,0.484,0.525,0.0,4,203,0.25002422,0.0,104.418,-3.65491,14.7097,1.2903,1.871,0.2581,0.2903,0.4839,3.1935000000000002,C,No
11269,Devon Carter,Lehigh,18,6.7,98.4,11.1,50.0,53.07,0.75,0.625,0.25,4,193,0.33312222,0.0,103.223,-2.46046,5.1053,0.0,0.21050000000000002,0.0526,0.2632,0.0,1.1579,Combo G,No
11270,Leroy Isler,Arkansas Little Rock,28,59.4,96.9,17.2,41.2,49.99,0.747,0.398,0.30000000000000004,4,195,0.86671643,0.0,109.46,-1.97181,26.3214,1.3929,2.0357,1.3929,0.5,0.1786,7.1429,Wing G,No
11273,Montrezl Harrell,Louisville,35,84.8,113.7,22.6,57.8,58.81,0.597,0.602,0.243,3,203,0.7101552,32.0,89.4932,7.45216,35.1143,3.1714,6.0,1.4,0.9429000000000001,1.2,15.6857,PF/C,Yes
11274,J.J. O'Brien,Utah,20,49.7,89.1,16.8,41.3,44.76,0.588,0.452,0.11800000000000001,1,200,0.72222221,0.0,106.486,-0.777893,28.85,2.2,3.35,1.3,0.5,0.15,6.5,Wing F,No
11275,JJ O'Brien,San Diego St.,35,82.4,106.6,19.7,47.9,50.25,0.637,0.484,0.294,4,200,1.62960005,0.0,90.2722,6.4408,32.8611,2.1944,3.0,2.4444,1.4167,0.19440000000000002,10.1944,Wing G,No
11276,Brandon Conley,Oral Roberts,29,49.3,100.6,22.5,55.7,57.03,0.618,0.557,0.0,4,200,0.57893666,0.0,108.855,-0.08172159999999999,19.7931,2.1724,3.1724,1.1379,0.3448,0.5862,7.2414,PF/C,No
11277,Corbin Byford,Oral Roberts,16,5.4,85.3,17.6,33.3,46.44,0.727,0.5,0.0,2,198,0.4,0.0,98.9249,-2.41887,4.25,0.1875,0.6875,0.125,0.1875,0.25,1.0,Wing F,No
11283,Tyler Rambo,Murray St.,28,23.0,113.2,14.1,61.5,62.5,0.625,0.615,0.0,3,195,0.84209692,0.0,103.281,0.570929,11.4,0.5667,0.9333,0.5333,0.3667,0.1,3.3667,Wing G,No
11284,C.J. Ford,Murray St.,30,18.3,88.9,14.7,38.1,41.57,0.522,0.485,0.0,2,185,1.69236093,0.0,108.146,-6.02916,7.8667,0.1333,0.8,0.7333000000000001,0.1333,0.0,1.4667,Wing G,No
11285,Trevor Franklin,UMKC,10,6.0,62.4,15.5,26.7,32.74,0.5710000000000001,0.4,0.0,1,198,0.25,0.0,115.98,-11.270199999999999,7.4,0.1,0.30000000000000004,0.1,0.0,0.1,1.2,PF/C,No
11288,Justin Alston,Boston University,31,59.8,111.2,23.7,55.9,59.36,0.748,0.561,0.0,4,203,0.44899424,0.0,100.451,-0.600972,23.875,2.0625,4.1875,0.6875,0.4062,0.6875,12.0312,C,No
11290,James Hunter,South Dakota,30,32.3,104.1,23.9,49.0,51.8,0.711,0.49,0.0,4,208,0.34609229999999996,0.0,103.998,-2.89112,13.5625,1.6562000000000001,1.8125,0.2812,0.1875,0.5625,5.7188,C,No
11293,Andrew Del Piero,LSU,31,33.6,100.5,16.6,55.1,55.51,0.545,0.551,0.0,4,220,0.15995039,0.0,98.3734,-0.200643,13.645199999999999,1.2258,1.9032,0.129,0.1613,1.0968,4.2581,C,No
11295,Devon White,Niagara,25,34.8,96.9,18.5,48.1,47.76,0.429,0.485,0.0,4,203,0.28,0.0,98.1133,-0.580226,18.64,2.2,2.88,0.28,0.76,1.0,5.64,C,No
11296,Tahjere McCall,Tennessee St.,25,72.2,97.7,29.1,45.3,50.69,0.65,0.464,0.25,4,195,1.40401453,0.0,92.64,5.8856,32.1481,1.5556,3.4074,5.1481,2.8148,0.48150000000000004,14.2963,Pure PG,No
11297,T.J. Cline,Richmond,35,80.9,110.2,30.6,56.8,59.03,0.687,0.613,0.316,4,205,1.91260329,0.0,99.2605,7.53969,32.6,0.8571000000000001,6.9143,5.6286000000000005,0.9429000000000001,0.2286,18.5143,Stretch 4,No
11298,John Hart,IUPUI,17,46.8,90.3,26.2,51.2,53.62,0.75,0.464,0.38,4,187,0.6551674,0.0,115.996,-4.39987,33.5882,0.7647,2.3529,2.2353,1.4706000000000001,0.29410000000000003,13.9412,Combo G,No
11299,Kayel Locke,UNC Greensboro,31,75.7,97.2,23.9,48.7,50.13,0.5740000000000001,0.494,0.312,4,195,0.79363284,0.0,110.347,-3.50479,30.5161,1.6129,3.8064999999999998,1.6129,0.5161,0.0645,12.5484,Wing F,No
11300,Tony Gill,Pacific,33,65.2,114.7,21.2,59.1,61.31,0.728,0.6000000000000001,0.384,4,203,0.67270652,0.0,108.343,3.27518,26.1818,1.8485,3.9697,1.1212,0.7273000000000001,0.2727,11.4242,Stretch 4,No
11301,David Nyarsuk,Cincinnati,21,10.7,109.2,12.7,57.1,62.5,0.875,0.5710000000000001,0.0,4,215,0.24986876,0.0,92.9356,2.93521,6.9524,0.6667000000000001,0.7143,0.0952,0.0952,0.5714,1.4762,C,No
11302,Titus Rubles,Cincinnati,34,72.4,105.6,17.2,40.5,48.58,0.769,0.41100000000000003,0.0,4,200,1.33999728,0.0,89.2845,5.25616,28.9706,2.5294,4.2647,1.9706000000000001,1.2941,0.8235,7.3235,PF/C,No
11303,Caris LeVert,Michigan,14,31.0,126.8,26.0,59.0,63.14,0.788,0.533,0.45,4,200,3.13643865,20.0,102.205,9.52432,31.0714,0.6429,4.7857,4.9286,0.9286000000000001,0.21430000000000002,16.3571,Combo G,Yes
11305,Daveon Balls,Northern Illinois,31,44.0,82.7,17.4,36.0,43.75,0.8260000000000001,0.37,0.229,2,182,0.88371426,0.0,99.7512,-3.6422600000000003,17.9355,0.2581,1.3226,1.2258,0.6129,0.0323,4.0323,Scoring PG,No
11306,Phillip Anglade,VMI,27,64.2,100.9,18.9,52.3,49.72,0.324,0.523,0.0,4,195,0.48150000000000004,0.0,109.446,-1.79467,25.8148,2.6667,2.7037,0.48150000000000004,0.7407,1.5185,8.4444,PF/C,No
11307,James Robinson,Pittsburgh,32,80.2,113.1,19.0,43.8,48.65,0.758,0.401,0.33,4,190,3.92853328,0.0,103.351,4.58411,32.3125,0.4375,2.75,5.1562,1.1875,0.1875,10.25,Scoring PG,No
11308,Tevin Falzon,Sacred Heart,25,63.0,110.8,19.5,41.5,50.07,0.8,0.406,0.29,4,200,1.11764703,0.0,106.892,-0.172648,30.48,3.76,4.52,1.52,0.32,1.44,10.88,PF/C,No
11311,Sam Watson,Chattanooga,30,36.9,97.6,10.9,54.9,57.33,0.618,0.583,0.0,3,200,0.52171643,0.0,109.265,-4.59129,14.8667,0.9,1.8667,0.4,0.1,0.2667,2.5667,PF/C,No
11312,Marshall Guilmette,East Carolina,21,34.2,89.2,21.0,44.7,47.97,0.6880000000000001,0.447,0.297,2,208,0.72726663,0.0,107.424,-3.37113,20.5,1.0909,2.2727,1.0909,0.2273,0.4091,6.2273,Stretch 4,No
11313,Allan Chaney,High Point,4,8.4,105.0,28.4,56.8,61.54,1.0,0.658,0.0,4,205,0.22222222,0.0,102.339,-3.38744,24.5,1.25,5.75,0.5,1.25,0.5,15.0,Wing F,No
11314,Ross Wilson,Rice,24,25.5,89.5,13.4,43.8,45.37,0.625,0.438,0.0,2,200,1.42859592,0.0,109.349,-4.93673,12.1667,0.5417000000000001,1.0833,0.8333,0.16670000000000001,0.0417,1.9583,PF/C,No
11317,Cameron Biedscheid,Notre Dame,34,41.1,98.2,20.8,44.8,48.86,0.8180000000000001,0.44,0.303,1,200,1.09995471,0.0,104.64,-0.0649846,17.4118,0.2059,1.1765,0.9706,0.17650000000000002,0.2647,6.1765,Wing G,No
11318,Zach Auguste,Notre Dame,36,73.7,108.9,26.9,56.0,58.1,0.628,0.56,0.0,4,208,0.43184422,0.0,101.776,2.22606,29.5833,3.3889,7.3333,1.0556,0.6389,1.0833,14.0,C,No
11319,Austin Burgett,Notre Dame,17,6.7,128.7,13.6,73.7,73.23,0.667,0.714,0.5,4,205,0.7501062,0.0,107.995,4.66755,5.7059,0.17650000000000002,0.7059000000000001,0.17650000000000002,0.11760000000000001,0.2353,1.8824,Stretch 4,No
11320,Alex Phillips,Nebraska Omaha,28,36.8,105.7,16.1,55.3,56.46,0.667,0.488,0.394,4,190,1.27998656,0.0,107.613,-1.16376,15.3571,0.42860000000000004,1.5714000000000001,1.1429,0.25,0.1071,5.0,Wing G,No
11321,Koang Doluony,Nebraska Omaha,6,6.6,61.3,12.1,43.8,44.69,0.5,0.5,0.25,4,203,0.24998125000000002,0.0,116.734,-9.72793,12.8333,0.6667000000000001,1.5,0.33330000000000004,0.33330000000000004,0.0,1.3333,Wing F,No
11322,Maurice Walker,Minnesota,32,61.2,107.3,24.2,57.4,60.79,0.725,0.5740000000000001,0.0,4,208,0.32837514,0.0,91.7705,5.21957,24.2121,2.2121,4.4545,0.6667000000000001,1.4545,1.3333,11.8485,C,No
11323,Manny Arop,Indiana St.,32,70.9,102.5,20.5,50.5,54.38,0.838,0.5,0.341,4,198,0.72543612,0.0,102.395,1.51367,28.375,1.0,3.75,1.1562000000000001,0.6875,0.6562,10.75,Wing F,No
11324,Corey Gray,Chicago St.,29,50.9,93.4,15.3,46.9,49.45,0.657,0.362,0.37,4,180,1.29728035,0.0,113.567,-5.12994,21.5172,0.5172,1.069,1.6552,0.6207,0.0345,5.0345,Scoring PG,No
11325,Isaiah Ivey,Gardner Webb,30,59.9,109.1,17.9,49.1,53.84,0.852,0.387,0.41000000000000003,4,187,0.90625296,0.0,107.688,-1.16091,24.2667,1.1333,2.7667,0.9667,0.6000000000000001,0.2,8.9,Wing G,No
11326,Jerome Hill,Gardner Webb,30,82.5,100.4,31.9,45.5,51.3,0.637,0.47800000000000004,0.158,3,195,0.7425772700000001,0.0,107.531,-1.48363,33.1176,3.4706,6.6765,2.2059,0.5294,0.6765,18.9412,Wing F,No
11329,Khion Sankey,Lipscomb,27,58.4,106.0,16.6,49.1,51.32,0.61,0.426,0.359,4,195,1.83877704,0.0,105.603,1.4253,25.2963,1.4074,4.0741,2.1111,1.0741,0.6296,7.1481,Wing F,No
11331,Marcus Colbert,Montana St.,30,83.4,108.5,28.1,48.3,51.83,0.734,0.459,0.354,4,180,1.91359252,0.0,111.753,0.12700899999999998,33.5,0.8667,2.1333,5.1667,1.1,0.1,17.2,Pure PG,No
11333,Marshall Wood,Richmond,31,29.6,83.7,16.2,48.6,49.73,0.625,0.46900000000000003,0.329,4,203,0.16662359999999998,0.0,103.778,-4.73813,13.4516,0.3548,1.4839,0.129,0.3548,0.1613,3.6129,Stretch 4,No
11335,Lovell Cook,New Orleans,22,70.9,104.1,21.4,54.3,57.69,0.767,0.533,0.5710000000000001,4,198,0.13515281,0.0,110.938,-5.70991,29.1818,0.7727,2.3636,0.2273,0.6818000000000001,0.36360000000000003,14.0909,Wing G,No
11336,Matt Sellers,Wyoming,13,9.2,101.9,18.6,66.7,67.42,0.667,0.667,0.0,4,208,0.53847928,0.0,97.3478,-0.5807869999999999,9.4,0.5333,1.1333,0.4667,0.06670000000000001,0.4,3.4,C,No
11337,Nathan Sobey,Wyoming,31,74.9,98.8,21.7,46.6,50.94,0.6890000000000001,0.5,0.265,4,190,1.50003876,0.0,103.533,-0.232677,30.4516,0.6129,2.8064999999999998,1.9355,0.5806,0.2581,9.8387,Wing G,No
11339,Trantell Knight,Middle Tennessee,31,70.7,90.2,20.3,45.3,48.92,0.5650000000000001,0.493,0.136,4,185,1.62224451,0.0,93.4346,1.8743,28.5161,0.6452,2.5806,4.7097,2.0323,0.09680000000000001,6.7742,Pure PG,No
11340,Ethan Faulkner,Northern Kentucky,27,80.7,93.5,16.8,40.4,47.34,0.842,0.378,0.292,4,185,1.7799557,0.0,103.701,-3.02225,32.2963,0.48150000000000004,2.1481,3.2963,1.0,0.0741,6.6296,Scoring PG,No
11341,Wally Judge,Rutgers,30,53.7,91.5,20.4,46.8,48.76,0.529,0.47100000000000003,0.0,4,205,0.39621893,0.0,106.537,-0.765214,22.9,2.3,3.7,0.7000000000000001,0.6000000000000001,1.1333,7.1333,C,No
11342,Christian Beyer,Virginia Tech,25,26.2,119.5,14.2,65.6,65.73,0.632,0.629,1.0,4,200,0.71428572,0.0,104.05,1.9773800000000001,13.92,1.0,2.24,0.4,0.36,0.12,3.84,PF/C,No
11343,Korie Lucious,Iowa St.,35,76.5,101.0,21.8,48.7,52.01,0.803,0.393,0.366,4,180,1.69565086,0.0,105.201,0.06808009999999999,31.0571,0.5143,1.3714,5.5714,0.8286,0.0286,10.0857,Pure PG,No
11345,Curtis Dennis,Iona,29,25.0,106.4,15.5,50.0,50.31,0.5710000000000001,0.519,0.329,4,195,0.90904297,0.0,108.498,0.220471,12.0345,0.5517000000000001,0.8276,0.3448,0.3103,0.2414,3.7931,Wing G,No
11347,Przemek Karnowski,Gonzaga,39,57.8,111.4,25.8,58.6,59.2,0.594,0.588,0.0,4,215,1.07142462,0.0,86.2659,7.21493,23.1026,1.4359,4.4103,1.9231,0.4359,0.9487000000000001,12.1795,C,No
11348,Nathaniel Mason,Sam Houston St.,32,29.5,97.2,18.8,48.6,52.21,0.667,0.47500000000000003,0.34600000000000003,4,193,0.51996927,0.0,106.044,-4.93651,12.3438,0.5312,1.3437999999999999,0.4062,0.3125,0.0625,4.1562,Wing G,No
11349,Drew Barham,Gonzaga,35,43.8,133.3,13.4,67.5,67.58,0.647,0.517,0.47500000000000003,4,200,0.6922455200000001,0.0,97.6097,7.63473,17.5143,0.9714,2.1429,0.2571,0.6571,0.2571,6.1429,Stretch 4,No
11351,Terrance Motley,Sam Houston St.,33,40.6,105.9,25.5,53.9,56.06,0.658,0.526,0.667,4,200,0.3242954,0.0,101.288,-2.88043,16.4848,1.5455,2.697,0.36360000000000003,0.5152,0.39390000000000003,8.6667,PF/C,No
11355,Ahmad Abdullah,North Carolina A&T,31,86.4,102.8,16.8,45.9,51.12,0.793,0.372,0.40900000000000003,4,182,1.86205236,0.0,111.935,-3.63804,35.2581,0.6129,2.6452,3.4839,0.5806,0.0323,9.8387,Scoring PG,No
