,player_name,school,GP,Min_per,ORtg,usg,eFG,TS_per,FT_per,twoP_per,TP_per,yr,ht,ast/tov,pick,drtg,bpm,mp,oreb,dreb,ast,stl,blk,pts,role,drafted
5472,Zach Filzen,Buffalo,30,77.4,111.6,16.5,56.1,57.32,0.765,0.435,0.396,4,190,0.97363223,0.0,104.92,0.676383,31.1,0.33330000000000004,2.4333,1.2333,0.4667,0.0,11.9667,Combo G,No
5474,Tucker Halpern,Brown,25,66.4,96.8,17.8,48.1,50.28,0.774,0.328,0.365,3,203,0.88888883,0.0,101.27,-0.438944,29.36,0.44,2.24,1.28,1.28,0.44,9.12,Wing F,No
5475,Brandon Oliver,Delaware St.,22,11.1,63.1,13.3,44.4,50.63,0.667,0.444,0.0,4,187,0.9374398700000001,0.0,100.352,-8.65005,6.3636,0.0455,0.5455,0.6818000000000001,0.36360000000000003,0.0455,0.5455,Pure PG,No
5476,Dontay Hampton,Chattanooga,5,7.6,111.0,26.6,52.9,59.57,0.867,0.214,0.5,4,185,1.11111114,0.0,101.677,1.77634,18.4,0.4,3.4,2.0,1.0,0.0,9.8,Combo G,No
5477,Austin Witter,North Carolina A&T,36,78.2,84.0,15.0,44.9,45.03,0.444,0.483,0.274,4,203,1.01347548,0.0,86.6006,4.30137,31.3889,1.1111,5.8056,2.0833,0.8056000000000001,2.9444,6.1389,PF/C,No
5479,James Marcellus,Delaware St.,17,19.2,104.8,12.4,46.9,51.81,0.65,0.46900000000000003,0.0,4,203,0.0,0.0,101.794,-5.92443,12.4706,0.7059000000000001,1.5293999999999999,0.0,0.2353,1.0,2.5294,C,No
5480,Jaime Sema,UC Santa Barbara,28,57.5,115.5,18.6,60.5,62.65,0.679,0.609,0.0,4,205,0.65794708,0.0,100.999,2.34604,24.25,1.7857,3.3214,0.8929,0.5714,0.8929,9.0357,C,No
5481,Orlando Johnson,UC Santa Barbara,29,84.7,113.1,29.1,53.0,56.61,0.713,0.467,0.427,4,195,1.19715727,36.0,102.081,4.22884,34.4828,1.4138,4.3103,2.931,1.0345,0.6897,19.8966,Wing G,Yes
5482,Jon Pastorek,UC Santa Barbara,30,51.6,95.1,14.7,56.3,58.53,0.739,0.554,0.417,4,208,0.700006,0.0,100.405,0.502644,20.8,1.5,2.7333,1.1667,0.6333000000000001,0.4,4.1333,PF/C,No
5484,Kambi Laleye,Buffalo,23,11.0,75.3,11.9,23.5,24.04,0.25,0.23500000000000001,0.0,4,205,1.66653896,0.0,105.66,-4.7432,5.6087,0.5217,0.5217,0.4348,0.08700000000000001,0.13040000000000002,0.4348,C,No
5485,Chase Holmes,Presbyterian,30,72.0,88.2,29.4,48.5,51.88,0.6900000000000001,0.502,0.28400000000000003,2,193,0.35788044,0.0,108.62,-5.08908,29.4,1.1333,3.0,1.1333,1.2,0.1333,13.7,Wing G,No
5486,Greg Rice,IUPUI,30,74.0,88.8,22.0,45.5,48.2,0.632,0.41600000000000004,0.359,3,180,1.39727944,0.0,116.54,-6.03536,30.1,0.16670000000000001,2.4333,3.4,1.1667,0.0333,9.0,Scoring PG,No
5487,Preston Blackmon,Savannah St.,31,68.0,97.7,23.4,47.5,49.86,0.729,0.397,0.386,3,182,1.6666311,0.0,95.0446,-0.5746629999999999,27.3226,0.5161,1.6129,4.6774000000000004,0.9032,0.129,9.2581,Pure PG,No
5488,Preston Blackman,Savannah St.,32,73.5,86.9,28.4,45.1,47.25,0.75,0.434,0.314,4,182,0.99151185,0.0,92.4933,-2.80918,29.8438,0.3438,1.5625,3.6562,1.0312,0.0625,11.6562,Pure PG,No
5489,Savalance Townsend,Arkansas Pine Bluff,27,59.0,90.4,20.4,41.4,47.75,0.713,0.357,0.341,2,185,0.72128538,0.0,94.4324,-0.7055009999999999,29.2593,0.8148000000000001,2.5185,1.6296,1.5926,0.2222,9.6667,Combo G,No
